Code,Name,Status,Chris,Maggie,Allyson,Edward
STP,São Tomé and Príncipe,Sovereign,,,,
SAU,Saudi Arabia,Sovereign,,,,
SEN,Senegal,Sovereign,Y,,,
SRB,Serbia,Sovereign,Y,Y,,
SYC,Seychelles,Sovereign,Y,Y,,
SLE,Sierra Leone,Sovereign,Y,,,
SGP,Singapore,Sovereign,Y,Y,,
SVK,Slovakia,Sovereign,Y,Y,Y,
SVN,Slovenia,Sovereign,Y,Y,,
SLB,Solomon Islands,Sovereign,Y,,,
SOM,Somalia,Sovereign,,,,
ZAF,South Africa,Sovereign,Y,Y,Y,Y
KOR,South Korea,Sovereign,Y,Y,Y,Y
SDS,South Sudan,Sovereign,,,,
ESP,Spain,Sovereign,Y,Y,Y,Y
LKA,Sri Lanka,Sovereign,,Y,,
SDN,Sudan,Sovereign,,,,
SUR,Suriname,Sovereign,,,,
SWE,Sweden,Sovereign,Y,Y,Y,
CHE,Switzerland,Sovereign,Y,Y,Y,Y
SYR,Syria,Sovereign,,,,
TWN,Taiwan,Non-sovereign,Y,Y,,
TJK,Tajikistan,Sovereign,Y,Y,,
TZA,Tanzania,Sovereign,Y,,,
THA,Thailand,Sovereign,Y,Y,Y,Y
BHS,Bahamas,Sovereign,Y,Y,Y,Y
GMB,Gambia,Sovereign,Y,,,
CN-XZ,Tibet,Non-sovereign,,,,
TLS,Timor-Leste,Sovereign,,,,
TGO,Togo,Sovereign,,,,
TON,Tonga,Sovereign,Y,Y,,
TTO,Trinidad and Tobago,Sovereign,,,,
TUN,Tunisia,Sovereign,,Y,,
TUR,Turkey,Sovereign,Y,Y,Y,
TKM,Turkmenistan,Sovereign,Y,Y,,
TUV,Tuvalu,Sovereign,,,,
UGA,Uganda,Sovereign,Y,,,
UKR,Ukraine,Sovereign,Y,Y,,
ARE,United Arab Emirates,Sovereign,Y,Y,Y,Y
GBR,United Kingdom,Sovereign,Y,Y,Y,Y
USA,United States of America,Sovereign,Y,Y,Y,Y
URY,Uruguay,Sovereign,Y,Y,Y,Y
VIR,U.S. Virgin Islands,Non-sovereign,Y,Y,Y,Y
UZB,Uzbekistan,Sovereign,Y,Y,,
VUT,Vanuatu,Sovereign,Y,,,
VEN,Venezuela,Sovereign,,Y,,
VNM,Vietnam,Sovereign,Y,Y,Y,Y
YEM,Yemen,Sovereign,,Y,,
ZMB,Zambia,Sovereign,Y,Y,Y,Y
ZWE,Zimbabwe,Sovereign,Y,Y,Y,Y
SXM,Sint Maarten,Non-sovereign,,,,
ATA,Antarctica,Non-sovereign,,,,
